id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
1181,Janet Evanovich,"High Five (Stephanie Plum, #5)",4.17,234,1715,18880,40111,40222,https://images.gr-assets.com/books/1270849101m/6423.jpg
1182,Stephen King,Joyland,3.9,1349,4135,19027,34328,23382,https://images.gr-assets.com/books/1348154483m/13596166.jpg
1183,"Hajime Isayama, Sheldon Drzka","Attack on Titan, Vol. 1 (Attack on Titan, #1)",4.42,1497,2163,8125,19796,52780,https://images.gr-assets.com/books/1432712438m/13154150.jpg
1184,F. Scott Fitzgerald,Tender Is the Night,3.83,1719,5896,22117,32814,24222,https://images.gr-assets.com/books/1438797669m/46164.jpg
1185,Olive Ann Burns,Cold Sassy Tree,3.99,1410,3959,18327,31333,29617,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1186,Tennessee Williams,The Glass Menagerie,3.67,2327,8897,27637,32344,21950,https://images.gr-assets.com/books/1391591003m/92517.jpg
1187,"Elena Ferrante, Ann Goldstein",My Brilliant Friend (The Neapolitan Novels #1),3.88,2191,5663,19003,34930,26646,https://images.gr-assets.com/books/1343064947m/13586707.jpg
1188,Timothy Ferriss,The 4-Hour Workweek,3.84,2637,6377,18156,25731,25884,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1189,Robin S. Sharma,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny,3.77,2900,5582,14980,22014,20001,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1190,Amor Towles,Rules of Civility,3.99,1044,3843,17133,36063,27049,https://images.gr-assets.com/books/1311705045m/10054335.jpg
1191,Larry Niven,"Ringworld (Ringworld, #1)",3.96,1172,4609,18536,30483,27761,https://images.gr-assets.com/books/1408793358m/61179.jpg
1192,Ruta Sepetys,Between Shades of Gray,4.36,885,1911,10720,34578,53192,https://images.gr-assets.com/books/1327873479m/7824322.jpg
1193,"Andrew Clements, Brian Selznick",Frindle,3.79,2530,7349,22318,25470,26829,https://images.gr-assets.com/books/1344395824m/439173.jpg
1194,Jeff Kinney,"Dog Days (Diary of a Wimpy Kid, #4)",4.14,1691,4157,14900,22681,39557,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1195,Louise Erdrich,The Round House,3.91,1240,4085,16752,32262,21797,https://images.gr-assets.com/books/1352999408m/13602426.jpg
1196,Madeleine L'Engle,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",4.07,1318,3499,18357,34396,36202,https://images.gr-assets.com/books/1327464177m/18130.jpg
1197,Veronica Roth,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",4.18,1258,3843,15265,25378,42350,https://images.gr-assets.com/books/1399503802m/13615258.jpg
1198,Hanya Yanagihara,A Little Life,4.27,2540,3792,9264,22287,47661,https://images.gr-assets.com/books/1446469353m/22822858.jpg
1199,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.","Y: The Last Man, Vol. 1: Unmanned",4.12,2462,3478,12272,27613,36490,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1200,Brandon Sanderson,"The Alloy of Law (Mistborn, #4)",4.2,271,1652,12408,36754,33812,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1201,Charlaine Harris,"Dead Reckoning (Sookie Stackhouse, #11)",3.77,1623,8127,31815,36438,28038,https://images.gr-assets.com/books/1357679465m/7981206.jpg
1202,"Anne Tyler, Jennifer Bassett",The Accidental Tourist,3.9,1069,4354,20299,32505,24037,https://images.gr-assets.com/books/1502220282m/60792.jpg
1203,Benjamin Alire Sáenz,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",4.34,2086,3759,13829,33659,69912,https://images.gr-assets.com/books/1328320260m/12000020.jpg
1204,H.G. Wells,The Invisible Man,3.62,1620,8318,33136,34502,18141,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1205,"Haruki Murakami, Alfred Birnbaum",Hard-Boiled Wonderland and the End of the World,4.15,537,2571,12766,30321,31237,https://images.gr-assets.com/books/1399844477m/10374.jpg
1206,"Paulo Coelho, Alan R. Clarke",By the River Piedra I Sat Down and Wept,3.57,3569,8464,20303,21049,17440,https://images.gr-assets.com/books/1466877798m/1428.jpg
1207,"Johann David Wyss, Scott McKowen, Arthur Pober",The Swiss Family Robinson  ,3.92,1516,4885,20991,28531,28554,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1208,Stephen King,Four Past Midnight ,3.9,671,3658,22268,31790,23515,https://images.gr-assets.com/books/1321023197m/133266.jpg
1209,Jennifer Probst,"The Marriage Bargain (Marriage to a Billionaire, #1)",3.81,2260,6830,25972,34389,28138,https://images.gr-assets.com/books/1329319988m/13486122.jpg
1210,L.M. Montgomery,"Anne of Avonlea (Anne of Green Gables, #2)",4.21,736,2515,17508,39849,47537,https://images.gr-assets.com/books/1305545757m/77390.jpg
1211,"Watty Piper, Doris Hauman, George Hauman",The Little Engine That Could,4.15,1585,4152,15526,21390,40835,https://images.gr-assets.com/books/1352736875m/824204.jpg
1212,Karen Joy Fowler,We Are All Completely Beside Ourselves,3.71,2104,6350,20852,30962,17582,https://images.gr-assets.com/books/1364850195m/16176440.jpg
1213,Orson Scott Card,"Children of the Mind (Ender's Saga, #4)",3.74,1630,6726,23486,29071,20462,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1214,James Joyce,Ulysses,3.74,6976,8093,17457,22201,31757,https://images.gr-assets.com/books/1428891345m/338798.jpg
1215,Sarah Dessen,Someone Like You,3.94,1183,5249,21809,27952,30485,https://images.gr-assets.com/books/1336001301m/816953.jpg
1216,Alan Brennert,Moloka'i,4.15,815,2666,12907,32048,32877,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1217,Anne Rice,"The Witching Hour (Lives of the Mayfair Witches, #1)",4.1,1837,4549,15324,27118,39093,https://images.gr-assets.com/books/1327289387m/11901.jpg
1218,Frank E. Peretti,"This Present Darkness (Darkness, #1)",4.24,1574,2825,10154,21084,38433,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1219,Jessica Sorensen,"The Coincidence of Callie & Kayden (The Coincidence, #1)",4.21,1680,3767,14668,32938,48134,https://images.gr-assets.com/books/1353550763m/16113791.jpg
1220,Lauren Groff,Fates and Furies,3.56,3942,8645,21297,27975,15926,https://images.gr-assets.com/books/1434750235m/24612118.jpg
1221,Judy Blume,Summer Sisters,3.83,1369,5413,21330,26826,22765,https://images.gr-assets.com/books/1167356646m/22695.jpg
1222,"E.B. White, Garth Williams",Stuart Little,3.88,1571,5851,23885,29647,29520,https://images.gr-assets.com/books/1347367311m/138959.jpg
1223,Isaac Asimov,"The Foundation Trilogy (Foundation, #1-3)",4.39,444,1409,8322,23209,41827,https://images.gr-assets.com/books/1316412178m/46654.jpg
1224,Brian Greene,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",4.06,1482,2773,12304,26557,26414,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1225,"Lemony Snicket, Brett Helquist","The Austere Academy (A Series of Unfortunate Events, #5)",3.97,1005,4992,25048,37595,34756,https://images.gr-assets.com/books/1320706187m/131123.jpg
1226,Janet Evanovich,"Seven Up (Stephanie Plum, #7)",4.15,243,1819,19146,38698,38800,https://images.gr-assets.com/books/1311720512m/6424.jpg
1227,Kelley Armstrong,"The Awakening (Darkest Powers, #2)",4.16,1151,3775,17773,31477,44064,https://images.gr-assets.com/books/1478986806m/5391115.jpg
1228,Jim Butcher,"Death Masks (The Dresden Files, #5)",4.32,125,812,11099,37096,41732,https://images.gr-assets.com/books/1345557713m/91479.jpg
1229,Janell Cannon,Stellaluna,4.22,1330,3298,14442,24455,44878,https://images.gr-assets.com/books/1275583521m/786256.jpg
1230,Joe Abercrombie,Before They Are Hanged (The First Law #2),4.27,462,1479,9236,32187,34551,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1231,Nancy Horan,Loving Frank,3.73,1811,6127,20667,31566,17662,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1232,"Janet Evanovich, Lorelei King","Hard Eight (Stephanie Plum, #8)",4.17,252,1930,18305,37742,39221,https://images.gr-assets.com/books/1479699438m/6425.jpg
1233,"Lemony Snicket, Brett Helquist","The Vile Village (A Series of Unfortunate Events, #7)",3.94,1165,4930,24324,33902,31470,https://images.gr-assets.com/books/1352066958m/150037.jpg
1234,Flora Rheta Schreiber,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,3.99,1086,3345,16767,26328,26329,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1235,Carl Sagan,Cosmos,4.35,1403,2044,8926,22885,45764,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1236,Chuck Palahniuk,Haunted,3.59,3632,8551,20095,22184,18091,https://images.gr-assets.com/books/1391152326m/22288.jpg
1237,Rosamunde Pilcher,The Shell Seekers,4.13,1035,3074,14363,25457,33777,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1238,Dave Eggers,What Is the What,4.16,684,2128,9938,25665,26325,https://images.gr-assets.com/books/1328837457m/4952.jpg
1239,"Gabriel García Márquez, Gregory Rabassa",Chronicle of a Death Foretold,3.95,955,4077,18369,33190,25062,https://images.gr-assets.com/books/1430736599m/23878.jpg
1240,"Ronald Holt, Arthur Conan Doyle","A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",4.22,1003,1472,9654,23231,30188,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1241,"Bill O'Reilly, Martin Dugard",Killing Lincoln: The Shocking Assassination that Changed America Forever,4.02,3032,3067,12962,28216,29392,https://images.gr-assets.com/books/1317793681m/10587120.jpg
1242,Jhumpa Lahiri,The Lowland,3.82,1356,4113,16972,30069,16758,https://images.gr-assets.com/books/1366930267m/17262100.jpg
1243,John Flanagan,"The Ruins of Gorlan (Ranger's Apprentice, #1)",4.2,1319,3020,14065,30897,42268,https://images.gr-assets.com/books/1293952830m/60400.jpg
1244,Laurie Halse Anderson,Wintergirls,3.98,2390,5689,18550,29809,35608,https://images.gr-assets.com/books/1346343878m/5152478.jpg
1245,John Grisham,The Brethren,3.71,1188,5217,23942,26290,16913,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1246,Robin Hobb,"Assassin's Quest (Farseer Trilogy, #3)",4.18,846,3016,12847,29868,36122,https://images.gr-assets.com/books/1399584431m/45112.jpg
1247,Ira Levin,Rosemary's Baby,3.96,1458,4285,19367,30332,29133,https://images.gr-assets.com/books/1327878603m/228296.jpg
1248,"Stephen King, Peter Straub","The Talisman (The Talisman, #1)",4.12,1188,4149,15834,27743,38383,https://images.gr-assets.com/books/1170530286m/59219.jpg
1249,Robert Jordan,"The Path of Daggers (Wheel of Time, #8)",3.9,1130,5454,20796,27930,26819,https://images.gr-assets.com/books/1390508613m/140974.jpg
1250,Jack Kerouac,The Dharma Bums,3.94,1290,4017,15055,24541,22762,https://images.gr-assets.com/books/1428986082m/412732.jpg
1251,Kelley Armstrong,"The Reckoning (Darkest Powers, #3)",4.21,1256,3395,15949,29157,47052,https://images.gr-assets.com/books/1327154591m/6468666.jpg
1252,Katherine Boo,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",3.97,1447,4028,15165,30994,25444,https://images.gr-assets.com/books/1315601232m/11869272.jpg
1253,"P.L. Travers, Mary Shepard","Mary Poppins (Mary Poppins, #1)",4.05,1382,4493,18678,27207,35844,https://images.gr-assets.com/books/1327947805m/152380.jpg
1254,Scott Lynch,"Red Seas Under Red Skies (Gentleman Bastard, #2)",4.23,432,1714,10685,31914,33858,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1255,Sandra Cisneros,The House on Mango Street,3.57,4086,9341,25470,28936,18950,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1256,David Benioff,City of Thieves,4.28,458,1566,9324,31105,35462,https://images.gr-assets.com/books/1392015757m/1971304.jpg
1257,Jeaniene Frost,"Halfway to the Grave (Night Huntress, #1)",4.18,2461,4690,16805,35199,54455,https://images.gr-assets.com/books/1373855613m/1421990.jpg
1258,"Roald Dahl, Quentin Blake",The Twits,3.94,1264,5201,22531,29859,31479,https://images.gr-assets.com/books/1406090629m/31456.jpg
1259,Garth Nix,"Abhorsen (Abhorsen, #3)",4.29,1355,2076,10963,28715,44221,https://images.gr-assets.com/books/1401683669m/334643.jpg
1260,"James Patterson, Peter de Jonge",The Beach House,3.82,1125,4351,20127,25271,19497,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1261,Stephen King,The Eyes of the Dragon,3.92,1238,4959,19595,28784,27073,https://images.gr-assets.com/books/1430121758m/10611.jpg
1262,Frank Herbert,Children of Dune (Dune Chronicles #3),3.9,861,4425,20138,30723,23589,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1263,James S.A. Corey,"Leviathan Wakes (The Expanse, #1)",4.2,638,2046,11177,35570,33474,https://images.gr-assets.com/books/1411013134m/8855321.jpg
1264,Sarah J. Maas,"Queen of Shadows (Throne of Glass, #4)",4.6,830,1492,6544,24703,81285,https://images.gr-assets.com/books/1441230104m/18006496.jpg
1265,Art Spiegelman,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",4.41,1337,1827,8751,25772,53582,https://images.gr-assets.com/books/1327887479m/15197.jpg
1266,Ezra Jack Keats,The Snowy Day,4.13,1758,4170,15058,22324,39390,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1267,Janet Evanovich,"To the Nines (Stephanie Plum, #9)",4.16,247,1811,17809,36430,37115,https://images.gr-assets.com/books/1169433446m/40331.jpg
1268,Emily Giffin,Where We Belong,3.86,974,3650,19479,29787,19758,https://images.gr-assets.com/books/1340320747m/12987977.jpg
1269,Richard   Preston,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,4.1,865,2675,14163,29413,29499,https://images.gr-assets.com/books/1413747743m/16213.jpg
1270,"Haruki Murakami, Philip Gabriel",Sputnik Sweetheart,3.82,657,4218,21129,31826,17635,https://images.gr-assets.com/books/1486764070m/9557.jpg
1271,Elizabeth Gilbert,The Signature of All Things,3.81,2242,5439,16022,26347,20325,https://images.gr-assets.com/books/1364277893m/17465453.jpg
1272,Lynne Truss,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",3.86,1519,5028,21237,32009,24339,https://images.gr-assets.com/books/1473392595m/8600.jpg
1273,Kim Harrison,"Dead Witch Walking (The Hollows, #1)",4.04,2671,5133,18380,30713,40200,https://images.gr-assets.com/books/1391713381m/30264.jpg
1274,"Clement C. Moore, Jan Brett",The Night Before Christmas,4.36,965,2473,12073,21977,52355,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1275,Diana Gabaldon,"An Echo in the Bone (Outlander, #7)",4.42,426,1486,8981,25413,49189,https://images.gr-assets.com/books/1370918297m/2832909.jpg
1276,Cynthia Hand,"Unearthly (Unearthly, #1)",4.06,2808,5060,18333,34714,43108,https://images.gr-assets.com/books/1324782984m/7488244.jpg
1277,Lee Strobel,The Case for Christ,4.1,2248,3100,11150,21955,31190,https://images.gr-assets.com/books/1448776489m/73186.jpg
1278,Robert Jordan,"Knife of Dreams (Wheel of Time, #11)",4.12,1036,3002,13517,28076,31805,https://images.gr-assets.com/books/1397856387m/13888.jpg
1279,Carl Hiaasen,Hoot,3.81,1487,5482,23106,29621,22690,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1280,"Virgil, Robert Fitzgerald",The Aeneid,3.81,1531,6436,23683,28909,24792,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1281,Junot Díaz,This Is How You Lose Her,3.75,2222,5928,18086,27736,18309,https://images.gr-assets.com/books/1342596676m/13503109.jpg
1282,"Haruki Murakami, Jay Rubin",After Dark,3.68,926,5833,24947,30379,14607,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1283,Daniel Quinn,Ishmael:A Novel,3.97,2488,4505,11881,20450,26644,https://images.gr-assets.com/books/1388180479m/227265.jpg
1284,Jenny Han,"It's Not Summer Without You (Summer, #2)",4.14,1171,3813,15170,26207,38505,https://images.gr-assets.com/books/1479864019m/6584188.jpg
1285,Katie McGarry,"Pushing the Limits (Pushing the Limits, #1)",4.08,2464,4565,17592,33721,42130,https://images.gr-assets.com/books/1322770025m/10194514.jpg
1286,"Kennilworthy Whisp, J.K. Rowling",Quidditch Through the Ages,3.85,1367,8104,29884,32041,34692,https://images.gr-assets.com/books/1369689506m/111450.jpg
1287,"Harry Allard, James  Marshall","Miss Nelson Is Missing! (Miss Nelson, #1)",4.26,840,2512,12582,21038,40501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1288,"Richard Bachman, Stephen King",The Long Walk,4.11,813,3338,14937,28192,32656,https://images.gr-assets.com/books/1309212400m/9014.jpg
1289,"Lemony Snicket, Brett Helquist","The Ersatz Elevator (A Series of Unfortunate Events, #6)",4.01,890,4245,22224,35182,34165,https://images.gr-assets.com/books/1352066916m/172327.jpg
1290,Lois Lowry,"Messenger (The Giver, #3)",3.9,737,4513,22960,35888,25197,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1291,J.R. Ward,"Lover Revealed (Black Dagger Brotherhood, #4)",4.3,622,2703,14865,33783,54498,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1292,"Stephen King, Jerry N. Uelsmann",'Salem's Lot,4.25,460,1854,12040,24920,35451,https://images.gr-assets.com/books/1320478491m/5413.jpg
1293,"Trenton Lee Stewart, Carson Ellis","The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",4.14,1236,3820,16158,32050,40231,https://images.gr-assets.com/books/1342715444m/83369.jpg
1294,Christopher Hitchens,god is Not Great: How Religion Poisons Everything,3.96,2982,3856,12657,24274,26179,https://images.gr-assets.com/books/1411218313m/43369.jpg
1295,Abbi Glines,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",4.21,1356,3842,15546,33228,49086,https://images.gr-assets.com/books/1356822956m/17029526.jpg
1296,Michael Crichton,State of Fear,3.69,2603,6100,19559,24269,17769,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1297,Jennifer E. Smith,The Statistical Probability of Love at First Sight,3.8,2569,7379,25452,32106,28350,https://images.gr-assets.com/books/1337187623m/10798416.jpg
1298,Jonathan Stroud,"The Golem's Eye (Bartimaeus, #2)",4.09,1500,2678,13194,27306,29899,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1299,Tom Robbins,Still Life with Woodpecker,4.04,960,2789,11834,23239,22689,https://images.gr-assets.com/books/1308749778m/9566.jpg
1300,Jenna Blum,Those Who Save Us,4.12,765,2223,12264,30513,27803,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1301,John Grisham,The Broker,3.77,893,4463,21542,25960,16965,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1302,Beth Revis,"Across the Universe (Across the Universe, #1)",3.78,3870,8338,24592,33481,30467,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1303,M. Scott Peck,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth",4.03,1319,3294,13426,22757,25945,https://images.gr-assets.com/books/1322673263m/347852.jpg
1304,Jim Butcher,"Blood Rites (The Dresden Files, #6)",4.33,133,765,10036,34916,40525,https://images.gr-assets.com/books/1345557965m/99383.jpg
1305,"Gertrude Chandler Warner, L. Kate Deal","The Boxcar Children (The Boxcar Children, #1)",4.09,2080,4487,18904,27979,42493,https://images.gr-assets.com/books/1173489650m/297249.jpg
1306,A.S.A. Harrison,The Silent Wife,3.3,2753,10948,28278,22276,7914,https://images.gr-assets.com/books/1356094989m/16171291.jpg
1307,Caitlin Moran,How to Be a Woman,3.73,3890,7041,18498,26706,22893,https://images.gr-assets.com/books/1405909800m/10600242.jpg
1308,Sarah J. Maas,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",4.72,931,1420,4725,18000,101415,https://images.gr-assets.com/books/1485259138m/17927395.jpg
1309,Keith Richards,Life,3.84,2452,4587,14539,23848,20545,https://images.gr-assets.com/books/1327960451m/9439303.jpg
1310,Jhumpa Lahiri,Unaccustomed Earth,4.11,442,2284,11807,27840,25212,https://images.gr-assets.com/books/1320398140m/85301.jpg
1311,Anita Shreve,The Pilot's Wife,3.5,1935,8327,27878,26648,11880,https://images.gr-assets.com/books/1435011220m/5191.jpg
1312,Don DeLillo,White Noise,3.86,1902,5355,15405,25335,22221,https://images.gr-assets.com/books/1327934706m/11762.jpg
1313,Stephen E. Ambrose,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",4.42,593,1088,6549,22048,40630,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1314,Charles Darwin,The Origin of Species,3.97,2513,4297,15150,22868,29228,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1315,Craig Thompson,Blankets,4.06,1727,3601,13030,24472,29791,https://images.gr-assets.com/books/1460925949m/25179.jpg
1316,David Wroblewski,The Story of Edgar Sawtelle,3.6,4187,9296,19768,27012,19191,https://images.gr-assets.com/books/1310466361m/2731276.jpg
1317,Christina Schwarz,Drowning Ruth,3.73,1081,4904,21822,27694,15452,https://images.gr-assets.com/books/1390180160m/5171.jpg
1318,Charles Bukowski,Post Office,4.01,790,2908,13689,28738,22283,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1319,Cormac McCarthy,"All the Pretty Horses (The Border Trilogy, #1)",3.97,1406,3865,14354,29344,23930,https://images.gr-assets.com/books/1498463335m/469571.jpg
1320,"Arthur Conan Doyle, Kyle Freeman","The Complete Sherlock Holmes, Vol 2",4.46,463,1077,7005,19926,43354,https://images.gr-assets.com/books/1347663158m/3586.jpg
1321,"Eiichirō Oda, Andy Nakatani","One Piece, Volume 01: Romance Dawn (One Piece, #1)",4.42,1561,2018,6936,13269,43919,https://images.gr-assets.com/books/1318523719m/1237398.jpg
1322,Peter S. Beagle,"The Last Unicorn (The Last Unicorn, #1)",4.18,1156,3142,13820,24629,37872,https://images.gr-assets.com/books/1358147318m/29127.jpg
1323,Angie Sage,"Magyk (Septimus Heap, #1)",3.8,2917,7378,22850,29932,28012,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1324,Laurie Halse Anderson,Fever 1793,3.89,1268,4721,20863,31432,25328,https://images.gr-assets.com/books/1381743126m/781110.jpg
1325,Tana French,"The Likeness (Dublin Murder Squad, #2)",4.05,915,2856,14814,34478,27180,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1326,Erik Larson,Dead Wake: The Last Crossing of the Lusitania,4.07,1070,2171,12326,32604,24835,https://images.gr-assets.com/books/1408923747m/22551730.jpg
1327,Rudyard Kipling,The Jungle Book,3.94,1096,4323,20388,27903,27595,https://images.gr-assets.com/books/1327873594m/77270.jpg
1328,Terry Hayes,"I Am Pilgrim (Pilgrim, #1)",4.23,1949,2805,8408,22567,36261,https://images.gr-assets.com/books/1403345411m/18144124.jpg
1329,"Allen Ginsberg, William Carlos Williams",Howl and Other Poems,4.14,1544,3203,12223,24316,34043,https://images.gr-assets.com/books/1327870926m/6295.jpg
1330,Richard Carlson,Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life,3.95,829,3551,16609,23292,22681,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1331,"Adam Mansbach, Ricardo Cortés",Go the Fuck to Sleep,4.26,1546,2636,10551,20458,39553,https://images.gr-assets.com/books/1342861907m/11192642.jpg
1332,Douglas Adams,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",3.96,856,4729,20017,28884,28938,https://images.gr-assets.com/books/1320725132m/360.jpg
1333,Walter Isaacson,Benjamin Franklin: An American Life,3.96,3086,3391,13181,25649,26497,https://images.gr-assets.com/books/1397772877m/10883.jpg
1334,Téa Obreht,The Tiger's Wife,3.37,4103,11059,25070,24442,11533,https://images.gr-assets.com/books/1382570044m/8366402.jpg
1335,Maria V. Snyder,"Poison Study (Study, #1)",4.16,1612,3895,16969,39358,46781,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1336,J.R. Ward,"Lover Unbound (Black Dagger Brotherhood, #5)",4.33,649,2630,13782,31871,55886,https://images.gr-assets.com/books/1351276662m/304027.jpg
1337,Terry Pratchett,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",4.36,346,1093,9312,29258,42055,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1338,"Anonymous, Joseph Smith Jr.",The Book of Mormon: Another Testament of Jesus Christ,4.37,6989,2468,2246,1749,52708,https://images.gr-assets.com/books/1327389004m/323355.jpg
1339,Stephen King,The Mist,3.92,988,4618,20962,30268,26404,https://images.gr-assets.com/books/1331317781m/813214.jpg
1340,Jim Butcher,"Dead Beat (The Dresden Files, #7)",4.43,74,494,7436,30945,45100,https://images.gr-assets.com/books/1345667776m/17683.jpg
1341,Pierce Brown,"Golden Son (Red Rising, #2)",4.46,338,1069,6783,25147,46198,https://images.gr-assets.com/books/1394684475m/18966819.jpg
1342,Terry Pratchett,"Night Watch (Discworld, #29; City Watch, #6)",4.47,232,724,7113,24480,46568,https://images.gr-assets.com/books/1320518310m/47989.jpg
1343,Terry Pratchett,"The Light Fantastic (Discworld, #2; Rincewind #2)",3.94,344,3897,22419,36096,26012,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1344,Malcolm Gladwell,What the Dog Saw and Other Adventures,3.82,1117,4118,19088,28218,18077,https://images.gr-assets.com/books/1344263875m/6516450.jpg
1345,Karin Slaughter,Pretty Girls,3.95,2344,4769,16789,33410,29314,https://images.gr-assets.com/books/1432205734m/25574782.jpg
1346,Joe Abercrombie,"Last Argument of Kings (The First Law, #3)",4.26,587,1861,9269,27438,33979,https://images.gr-assets.com/books/1302062699m/944076.jpg
1347,Stephen King,Revival,3.75,1438,4573,19386,27879,15815,https://images.gr-assets.com/books/1394651975m/20926278.jpg
